Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
SWK,Stanley Black & Decker,reports,Industrials,Industrials,"New Britain, Connecticut",1982-09-30,93556,
SBUX,Starbucks Corp.,reports,Consumer Discretionary,Consumer Discretionary,"Seattle, Washington",,829224,1971
STT,State Street Corp.,reports,Financials,Financials,"Boston, Massachusetts",,93751,
SYK,Stryker Corp.,reports,Health Care,Health Care,"Kalamazoo, Michigan",2000-12-12,310764,
STI,SunTrust Banks,reports,Financials,Financials,"Atlanta, Georgia",1988-05-31,750556,
SIVB,SVB Financial,reports,Financials,Financials,"Santa Clara, California",2018-03-19,719739,
SYF,Synchrony Financial,reports,Financials,Financials,"Stamford, Connecticut",2015-11-18,1601712,
SNPS,Synopsys Inc.,reports,Information Technology,Information Technology,"Mountain View, California",2017-03-16,883241,
SYY,Sysco Corp.,reports,Consumer Staples,Consumer Staples,"Houston, Texas",1986-12-31,96021,
TMUS,T-Mobile US,reports,Communication Services,Communication Services,"Bellevue, Washington",2019-07-15,1283699,
TROW,T. Rowe Price Group,reports,Financials,Financials,"Baltimore, Maryland",,1113169,1937
TTWO,Take-Two Interactive,reports,Communication Services,Communication Services,"New York, New York",2018-03-19,946581,
TPR,"Tapestry, Inc.",reports,Consumer Discretionary,Consumer Discretionary,"New York, New York",,1116132,2017
TGT,Target Corp.,reports,Consumer Discretionary,Consumer Discretionary,"Minneapolis, Minnesota",1976-12-31,27419,
TEL,TE Connectivity Ltd.,reports,Information Technology,Information Technology,"Schaffhausen, Switzerland",2011-10-17,1385157,
FTI,TechnipFMC,reports,Energy,Energy,"London, United Kingdom",2009-06-05,1681459,
TFX,Teleflex,reports,Health Care,Health Care,"Wayne, Pennsylvania",2019-01-18,96943,1943
TXN,Texas Instruments,reports,Information Technology,Information Technology,"Dallas, Texas",,97476,1930
TXT,Textron Inc.,reports,Industrials,Industrials,"Providence, Rhode Island",1978-12-31,217346,
TMO,Thermo Fisher Scientific,reports,Health Care,Health Care,"Waltham, Massachusetts",,97745,2006
TIF,Tiffany & Co.,reports,Consumer Discretionary,Consumer Discretionary,"New York, New York",2000-06-21,98246,
TWTR,"Twitter, Inc.",reports,Communication Services,Communication Services,"San Francisco, California",2018-06-07,1418091,
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Consumer Discretionary,"Framingham, Massachusetts",1985-09-30,109198,
